rank,influencer,category,followers,viewsAvg,likesAvg,commentsAvg,category_2
1,joerogan,Daily vlogs,19.4M,1.2M,22.4K,5K,Daily vlogs
2,nasdaily,Daily vlogs,14M,211.8K,12.7K,233,Daily vlogs
3,underwatertorishorts,Daily vlogs,11M,1.1M,12.7K,9,Daily vlogs
4,tieubaobaothom,Daily vlogs,10.6M,9K,145,3,Daily vlogs
5,hungryfam,Daily vlogs,9.7M,41.7K,1K,5,Daily vlogs
6,charlidamelio,Daily vlogs,9.1M,4.7K,608,11,Daily vlogs
7,jreclips,Daily vlogs,8M,439.5K,10K,1.3K,Daily vlogs
8,haleyybaylee,Daily vlogs,7.3M,655.5K,70.8K,280,Daily vlogs
9,kris8an,Daily vlogs,7.2M,540K,34K,1.2K,Daily vlogs
10,unpardeales,Daily vlogs,6.7M,37.7K,1.2K,6,Daily vlogs
11,thecanfamily,Daily vlogs,6.7M,483.6K,24.2K,189,Daily vlogs
12,petermckinnon,Daily vlogs,6M,145.2K,7.2K,450,Daily vlogs
13,cutegirlshairstyles,Daily vlogs,5.7M,20.2K,617,6,Daily vlogs
14,thefluellenfam,Daily vlogs,5.7M,1.9M,94.2K,793,Daily vlogs
15,andy.and.michelle,Daily vlogs,5.1M,741.8K,72.5K,327,Daily vlogs
16,dailybumps,Daily vlogs,5.1M,18.8K,1.5K,49,Daily vlogs
17,hannahandregal,Daily vlogs,5M,76.5K,7.5K,134,Daily vlogs
18,connorfranta,Daily vlogs,4.8M,35.4K,2.6K,351,Daily vlogs
19,thechurcofamily,Daily vlogs,4.5M,1M,77.1K,534,Daily vlogs
20,notenoughnelsons,Daily vlogs,4.5M,641.7K,29.6K,477,Daily vlogs
21,aurikatariina,Daily vlogs,4.4M,267.2K,15K,674,Daily vlogs
22,claradao,Daily vlogs,4.3M,634.4K,62.5K,1.3K,Daily vlogs
23,mad_lab,Daily vlogs,4.2M,20.2K,535,15,Daily vlogs
24,janeinsane_,Daily vlogs,4.1M,1.3M,90.6K,502,Daily vlogs
25,rebeccazamoloshorts,Daily vlogs,4M,604.6K,7.9K,705,Daily vlogs
26,vlogbrothers,Daily vlogs,3.9M,188.1K,17.2K,1.8K,Daily vlogs
27,atsunamatsui,Daily vlogs,3.9M,69.1K,2K,10,Daily vlogs
28,katiefeeney,Daily vlogs,3.8M,73.5K,6.7K,47,Daily vlogs
29,sushimonstersshorts,Daily vlogs,3.8M,981.5K,50.4K,794,Daily vlogs
30,thescottfamilyy,Daily vlogs,3.7M,717.9K,65.6K,449,Daily vlogs
31,nicolelaeno,Daily vlogs,3.7M,74.2K,7.2K,62,Daily vlogs
32,nhutella,Daily vlogs,3.7M,111.4K,4.9K,53,Daily vlogs
33,woodworkingart,Daily vlogs,3.7M,16.6K,480,38,Daily vlogs
34,hiddenfiless,Daily vlogs,3.6M,5.3K,353,9,Daily vlogs
35,katlinsias,Daily vlogs,3.6M,4.3K,145,6,Daily vlogs
36,emirichu,Daily vlogs,3.5M,466.4K,38.5K,2.1K,Daily vlogs
37,madeleine_white,Daily vlogs,3.5M,1.3M,131.3K,684,Daily vlogs
38,itsmaddiejoy,Daily vlogs,3.4M,10.6K,326,2,Daily vlogs
39,afrimaxenglish,Daily vlogs,3.4M,34.2K,588,112,Daily vlogs
40,solarsido,Daily vlogs,3.3M,16.7K,1.1K,28,Daily vlogs
41,stevenfurtick,Daily vlogs,3.2M,20.8K,4.4K,121,Daily vlogs
42,alishamarievlogs,Daily vlogs,3M,126.9K,4.5K,62,Daily vlogs
43,sarahandderik,Daily vlogs,3M,84.8K,5.4K,82,Daily vlogs
44,henrybelcaster,Daily vlogs,3M,2.1M,152.7K,1.1K,Daily vlogs
45,jhyun_u,Food & Drinks,3M,161.8K,4.7K,347,Daily vlogs
46,jcandsondra6639,Daily vlogs,2.9M,412K,20K,214,Daily vlogs
47,flair.,Daily vlogs,2.9M,333K,10.1K,831,Daily vlogs
48,johnnyq,Daily vlogs,2.9M,28.2K,2.4K,73,Daily vlogs
49,snoopslimes,Daily vlogs,2.8M,163.7K,9.3K,151,Daily vlogs
50,yahweh_children_ministries,Daily vlogs,2.7M,5.6K,0,19,Daily vlogs
1,supercarblondie,Autos & Vehicles,21.3M,171.7K,6.5K,156,Autos & Vehicles
2,quantumtech,Autos & Vehicles,16M,520.9K,4.5K,158,Autos & Vehicles
3,stephensharer,Autos & Vehicles,12M,133K,2.7K,56,Autos & Vehicles
4,formula1,Autos & Vehicles,11.8M,150.1K,6.8K,103,Autos & Vehicles
5,magnetworld,Toys,11.1M,7.5K,55,5,Autos & Vehicles
6,cartersharer,Autos & Vehicles,10.8M,284K,5.4K,475,Autos & Vehicles
7,chrisfix,Autos & Vehicles,10.6M,822.5K,44.7K,3.5K,Autos & Vehicles
8,topgear,Autos & Vehicles,9.2M,275.2K,7.2K,572,Autos & Vehicles
9,superherointraining_,Autos & Vehicles,9M,52.4K,1.9K,28,Autos & Vehicles
10,donut,Autos & Vehicles,9M,512.2K,21.3K,1.4K,Autos & Vehicles
11,slobnazzz,Autos & Vehicles,7.5M,89.6K,2.8K,8,Autos & Vehicles
12,scottykilmer,Autos & Vehicles,6.5M,99.3K,4.7K,275,Autos & Vehicles
13,dougdemuro,Autos & Vehicles,4.9M,109K,3.5K,446,Autos & Vehicles
14,primitivetool,Autos & Vehicles,4.6M,37.9K,267,13,Autos & Vehicles
15,scaryteachersqgame,Autos & Vehicles,4.5M,20.5K,1.1K,1,Autos & Vehicles
16,thestradman,Autos & Vehicles,4.5M,610K,39.2K,2K,Autos & Vehicles
17,cboystv,Autos & Vehicles,4.4M,1.7M,53K,2.8K,Autos & Vehicles
18,cleetusm,Autos & Vehicles,4.2M,1.7M,97.4K,6.7K,Autos & Vehicles
19,dailydrivenexotics,Autos & Vehicles,4M,451.6K,26.9K,2.2K,Autos & Vehicles
20,autotopnl,Autos & Vehicles,4M,41.8K,1.5K,86,Autos & Vehicles
21,engineeringexplained,Autos & Vehicles,4M,669.4K,28.4K,2K,Autos & Vehicles
22,westenchamplin,Autos & Vehicles,3.9M,2.9M,87.9K,2.7K,Autos & Vehicles
23,mightycarmods,Autos & Vehicles,3.9M,112K,5.6K,254,Autos & Vehicles
24,tocaa_mona,Autos & Vehicles,3.9M,167K,26.7K,248,Autos & Vehicles
25,adamlz,Autos & Vehicles,3.8M,324.9K,17.3K,831,Autos & Vehicles
26,thedetailgeek,Autos & Vehicles,3.8M,10.2K,781,11,Autos & Vehicles
27,jaylenosgarage,Autos & Vehicles,3.8M,10.5K,500,17,Autos & Vehicles
28,masface6,Autos & Vehicles,3.8M,47.2K,2.8K,61,Autos & Vehicles
29,1320video,Autos & Vehicles,3.6M,58.9K,2.7K,99,Autos & Vehicles
30,projectfarm,Autos & Vehicles,3.5M,810.5K,33.1K,5.4K,Autos & Vehicles
31,hagerty,Autos & Vehicles,3.4M,175.7K,7.1K,305,Autos & Vehicles
32,throttlehouse,Autos & Vehicles,3.2M,607K,25.7K,1.6K,Autos & Vehicles
33,kevintalbottv,Autos & Vehicles,3.2M,276.2K,8.4K,511,Autos & Vehicles
34,thepoolguyml,Autos & Vehicles,3.1M,17.6K,1.1K,16,Autos & Vehicles
35,forrestsautoreviewsofficial,Autos & Vehicles,3.1M,477.3K,47.9K,664,Autos & Vehicles
36,dirtbikelunatic,Humor,2.9M,35.9K,1.3K,76,Autos & Vehicles
37,marianaandvova52,Autos & Vehicles,2.8M,6.5K,139,1,Autos & Vehicles
38,tesla,Autos & Vehicles,2.8M,248.2K,9.2K,848,Autos & Vehicles
39,xpertgamingtech,Autos & Vehicles,2.8M,19.2K,794,68,Autos & Vehicles
40,grindhardplumbingco,Autos & Vehicles,2.8M,705.3K,26.2K,880,Autos & Vehicles
41,shmee150,Autos & Vehicles,2.8M,27.6K,1.9K,75,Autos & Vehicles
42,sunfarming7533,Autos & Vehicles,2.7M,38.7K,2.5K,4,Autos & Vehicles
43,throtl,Autos & Vehicles,2.7M,21.4K,1.7K,22,Autos & Vehicles
44,goonzquad,Autos & Vehicles,2.7M,708.4K,35.9K,1.2K,Autos & Vehicles
45,gumbal,Autos & Vehicles,2.6M,6.1K,244,7,Autos & Vehicles
46,1aauto,Autos & Vehicles,2.6M,965.5,56,3,Autos & Vehicles
47,whatsinsidefamily,Autos & Vehicles,2.6M,118.2K,983,77,Autos & Vehicles
48,magnetsatisfying,Autos & Vehicles,2.5M,823.5,167,10,Autos & Vehicles
49,marianazd,DIY & Life Hacks,2.5M,5K,134,1,Autos & Vehicles
50,bikesandbeards,Autos & Vehicles,2.5M,449.3K,15.9K,1.1K,Autos & Vehicles
1,mrbeast,Video games,366M,116M,4.2M,37.7K,All Categories
2,stokestwins,Video games,114.5M,25.7M,288.1K,3K,All Categories
3,pewdiepie,,110.6M,2.4M,159.9K,6.5K,All Categories
4,wwe,Movies,107.5M,218.1K,10.4K,291,All Categories
5,blackpink,Music & Dance,96.1M,2M,271.2K,23.5K,All Categories
6,hybelabels,Music & Dance,76.7M,105.8K,9.5K,364,All Categories
7,markrober,,64.5M,16.8M,940.8K,1.7K,All Categories
8,movieclips,Movies,63.6M,24.7K,280,13,All Categories
9,dudeperfect,Movies,60.9M,3.4M,112.2K,2.7K,All Categories
10,topperguild,Movies,58.5M,6.1M,88.2K,501,All Categories
11,marshmello,Music & Dance,57.7M,176.1K,13.8K,695,All Categories
12,edsheeran,Music & Dance,55.9M,493.4K,45.5K,381,All Categories
13,billieeilish,Music & Dance,54.9M,1M,63.5K,3.7K,All Categories
14,zhong,Movies,52.6M,4.9M,83.8K,999,All Categories
