rank,contributorContentUsername,contributorContentFullname,category,followers,viewsAvg,likesAvg,commentsAvg,category_2,isPersonal,Url
1,mrbeast,MrBeast,Video games,366M,128.4M,4.5M,6.4K,All Categories,T,https://www.youtube.com/@mrbeast
2,stokestwins,Stokes Twins,Video games,115.1M,26.6M,295.6K,3.1K,All Categories,T,https://www.youtube.com/@stokestwins
3,pewdiepie,PewDiePie,,110.6M,2.4M,159.9K,6.5K,All Categories,,https://www.youtube.com/@pewdiepie
4,wwe,WWE,Movies,107.5M,218.5K,10.4K,293,All Categories,,https://www.youtube.com/@wwe
5,blackpink,BLACKPINK,Music & Dance,96.1M,2M,272.2K,23.5K,All Categories,,https://www.youtube.com/@blackpink
6,hybelabels,HYBE LABELS,Music & Dance,76.7M,120.5K,9.7K,392,All Categories,T,https://www.youtube.com/@hybelabels
7,markrober,Mark Rober,,64.6M,17.5M,969.6K,1.8K,All Categories,T,https://www.youtube.com/@markrober
8,movieclips,Movieclips,Movies,63.6M,25.9K,283,14,All Categories,,https://www.youtube.com/@movieclips
9,dudeperfect,Dude Perfect,Movies,60.9M,2.4M,94.9K,2.9K,All Categories,T,https://www.youtube.com/@dudeperfect
10,topperguild,Topper Guild,Movies,58.7M,6M,103K,420,All Categories,T,https://www.youtube.com/@topperguild
11,marshmello,Marshmello,Music & Dance,57.7M,176.1K,13.8K,695,All Categories,,https://www.youtube.com/@marshmello
12,edsheeran,Ed Sheeran,Music & Dance,55.9M,493.4K,45.5K,381,All Categories,T,https://www.youtube.com/@edsheeran
13,billieeilish,Billie Eilish,Music & Dance,54.9M,1M,63.5K,3.7K,All Categories,T,https://www.youtube.com/@billieeilish
14,zhong,Zhong,Movies,52.6M,4.5M,84.4K,978,All Categories,,https://www.youtube.com/@zhong
15,torung,ToRung,,50.3M,5.3M,107.2K,98,All Categories,,https://www.youtube.com/@torung
16,mrbeast2,MrBeast 2,Movies,49.4M,6.7M,326.1K,4K,All Categories,T,https://www.youtube.com/@mrbeast2
17,shakira,Shakira,Music & Dance,47.8M,141.7K,11.7K,607,All Categories,,https://www.youtube.com/@shakira
18,alanwalkermusic,Alan Walker,Music & Dance,46.6M,80K,2.6K,232,All Categories,,https://www.youtube.com/@alanwalkermusic
19,brightsideofficial,BRIGHT SIDE,Animation,44.8M,20.9K,255,15,All Categories,,https://www.youtube.com/@brightsideofficial
20,celinedept,Celine Dept,Sports,44M,5M,188.2K,608,All Categories,T,https://www.youtube.com/@celinedept
21,zachking,Zach King,Movies,42.1M,489.8K,31.3K,156,All Categories,T,https://www.youtube.com/@zachking
22,jasonderulo,Jason Derulo,Music & Dance,41.1M,25.7K,835,9,All Categories,T,https://www.youtube.com/@jasonderulo
23,lankybox,LankyBox,Animation,40.7M,243.1K,2.8K,404,All Categories,,https://www.youtube.com/@lankybox
24,leonatafamily,LeoNata Family,Music & Dance,40.5M,513.3K,8K,13,All Categories,T,https://www.youtube.com/@leonatafamily
25,dednahype,dednahype,Music & Dance,38.9M,403.6K,7K,9,All Categories,,https://www.youtube.com/@dednahype
26,youtube,YouTube,Animation,38.4M,2.8M,29.3K,1.7K,All Categories,,https://www.youtube.com/@youtube
27,theellenshow,TheEllenShow,Movies,38.3M,7K,125,10,All Categories,,https://www.youtube.com/@theellenshow
28,brentrivera,Brent Rivera,Animation,37.5M,913.7K,33.7K,172,All Categories,T,https://www.youtube.com/@brentrivera
29,ozuna,Ozuna,Music & Dance,37.4M,14.2K,1.4K,53,All Categories,,https://www.youtube.com/@ozuna
30,theweeknd,The Weeknd,Music & Dance,37.3M,1.4M,48.4K,1.9K,All Categories,T,https://www.youtube.com/@theweeknd
31,markiplier,Markiplier,Movies,37.3M,1.8M,100.6K,3.4K,All Categories,,https://www.youtube.com/@markiplier
32,disneymusicvevo,DisneyMusicVEVO,Music & Dance,36.7M,7.2K,244,11,All Categories,,https://www.youtube.com/@disneymusicvevo
33,lucasandmarcus,Lucas and Marcus,Animation,36.7M,501.7K,12.3K,325,All Categories,T,https://www.youtube.com/@lucasandmarcus
34,nichlmao,NichLmao,Movies,36.5M,516.2K,15.6K,301,All Categories,,https://www.youtube.com/@nichlmao
35,ishowspeed,IShowSpeed,Humor,36.3M,3M,92.4K,3.1K,All Categories,,https://www.youtube.com/@ishowspeed
36,sagawa,Sagawa /さがわ,Music & Dance,35.9M,318.9K,8K,55,All Categories,T,https://www.youtube.com/@sagawa
37,thatlittlepuff,That Little Puff,Animation,35.9M,229.8K,2.2K,78,All Categories,T,https://www.youtube.com/@thatlittlepuff
38,mrdegreeofficial,Mr DegrEE,Music & Dance,35.7M,1M,25.1K,44,All Categories,,https://www.youtube.com/@mrdegreeofficial
39,selenagomez,Selena Gomez,Music & Dance,35M,1.6M,92.5K,4.6K,All Categories,T,https://www.youtube.com/@selenagomez
40,sssniperwolf,SSSniperWolf,Movies,35M,832.7K,17.4K,2K,All Categories,,https://www.youtube.com/@sssniperwolf
41,daniellabelle,Daniel LaBelle,Animation,34.6M,795.6K,37.3K,607,All Categories,T,https://www.youtube.com/@daniellabelle
42,nocopyrightsounds,NoCopyrightSounds,Music & Dance,34M,96.5K,3.8K,414,All Categories,,https://www.youtube.com/@nocopyrightsounds
43,smtown,SMTOWN,Music & Dance,33M,115.5K,11.3K,415,All Categories,,https://www.youtube.com/@smtown
44,imaginedragons,ImagineDragons,Music & Dance,32.5M,29.3K,2.1K,67,All Categories,T,https://www.youtube.com/@imaginedragons
45,talkingtom,Talking Tom,Animation,32.4M,110.8K,902,0,All Categories,T,https://www.youtube.com/@talkingtom
46,fallontonight,The Tonight Show Starring Jimmy Fallon,Movies,32.4M,128.3K,2.7K,163,All Categories,,https://www.youtube.com/@fallontonight
47,luisfonsi,Luis Fonsi,,32.2M,7.5K,902,37,All Categories,T,https://www.youtube.com/@luisfonsi
48,bigschoolminecraft,BigSchool,Animation,32M,52.3K,2.4K,6,All Categories,,https://www.youtube.com/@bigschoolminecraft
49,dream,Dream,Animation,32M,859.4K,62.5K,4.8K,All Categories,T,https://www.youtube.com/@dream
50,zachchoi,Zach Choi ASMR,ASMR,31.8M,94.9K,1.7K,89,All Categories,T,https://www.youtube.com/@zachchoi
1,wwe,WWE,Movies,107.5M,218.5K,10.4K,293,Animation,,https://www.youtube.com/@wwe
2,movieclips,Movieclips,Movies,63.6M,25.9K,283,14,Animation,,https://www.youtube.com/@movieclips
3,brightsideofficial,BRIGHT SIDE,Animation,44.8M,20.9K,255,15,Animation,,https://www.youtube.com/@brightsideofficial
4,zachking,Zach King,Movies,42.1M,489.8K,31.3K,156,Animation,T,https://www.youtube.com/@zachking
5,lankybox,LankyBox,Animation,40.7M,243.1K,2.8K,404,Animation,,https://www.youtube.com/@lankybox
6,youtube,YouTube,Animation,38.4M,2.8M,29.3K,1.7K,Animation,,https://www.youtube.com/@youtube
7,brentrivera,Brent Rivera,Animation,37.5M,913.7K,33.7K,172,Animation,T,https://www.youtube.com/@brentrivera
8,lucasandmarcus,Lucas and Marcus,Animation,36.7M,501.7K,12.3K,325,Animation,T,https://www.youtube.com/@lucasandmarcus
9,nichlmao,NichLmao,Movies,36.5M,516.2K,15.6K,301,Animation,,https://www.youtube.com/@nichlmao
10,thatlittlepuff,That Little Puff,Animation,35.9M,229.8K,2.2K,78,Animation,T,https://www.youtube.com/@thatlittlepuff
