rank,contributorContentUsername,contributorContentFullname,category,followers,viewsAvg,likesAvg,commentsAvg,category_2,isPersonal,Url,accountType
1,jamescharles,James Charles,Beauty,24.1M,1.2M,51.4K,1.4K,Beauty,T,https://www.youtube.com/@jamescharles,Star
2,nikkietutorials,NikkieTutorials,Beauty,14.6M,990.3K,57.7K,264,Beauty,,https://www.youtube.com/@nikkietutorials,Personal
3,sydneymorgan,Sydney Morgan,Beauty,9.3M,346K,24.7K,436,Beauty,T,https://www.youtube.com/@sydneymorgan,Personal
4,jarrettstod,Jarrett Stod,Beauty,8.8M,133K,3.9K,136,Beauty,T,https://www.youtube.com/@jarrettstod,Personal
5,emmycombss,Emmy Combs,Beauty,8.2M,428.9K,23.1K,315,Beauty,,https://www.youtube.com/@emmycombss,Personal
6,nataliesoutlet,Natalies Outlet,Beauty,8.2M,4.1K,335,6,Beauty,T,https://www.youtube.com/@nataliesoutlet,Personal
7,tati,Tati,Beauty,8.1M,110.7K,6.7K,400,Beauty,,https://www.youtube.com/@tati,Personal
8,anacrylics,Anacrylics,Beauty,6.4M,18.5K,2.6K,41,Beauty,,https://www.youtube.com/@anacrylics,Personal
9,atarahmayhew,Atarah Mayhew,Beauty,6.3M,216.2K,13.4K,477,Beauty,T,https://www.youtube.com/@atarahmayhew,Personal
10,shabandkassie,Shab & Kassie,Beauty,5.9M,49.7K,2.7K,53,Beauty,T,https://www.youtube.com/@shabandkassie,Personal
11,jaclynhill1,Jaclyn Hill,Beauty,5.5M,80.8K,4.2K,385,Beauty,T,https://www.youtube.com/@jaclynhill1,Personal
12,kat_longoria,Kat Longoria,Beauty,5M,35.5K,1.9K,21,Beauty,T,https://www.youtube.com/@kat_longoria,Personal
13,mannymua733,Manny Mua,Beauty,4.8M,81.5K,4.6K,193,Beauty,T,https://www.youtube.com/@mannymua733,Personal
14,christendominique,Christen Dominique,Beauty,4.8M,36.8K,1.9K,77,Beauty,T,https://www.youtube.com/@christendominique,Personal
15,hyram,Hyram,Beauty,4.5M,22.2K,1.3K,106,Beauty,,https://www.youtube.com/@hyram,Personal
16,hudabeauty,Huda Beauty,Beauty,4.2M,10.1K,730,19,Beauty,T,https://www.youtube.com/@hudabeauty,Brand
17,kathleenlights,KathleenLights,Beauty,4.1M,65K,4K,320,Beauty,,https://www.youtube.com/@kathleenlights,Personal
18,ilysmnails,ilysm Nails,Beauty,4M,7.3K,234,4,Beauty,T,https://www.youtube.com/@ilysmnails,Brand
19,waynegoss,Wayne Goss,Beauty,4M,18.1K,1.8K,175,Beauty,T,https://www.youtube.com/@waynegoss,Personal
20,missdarcei,MissDarcei,Beauty,3.7M,332.5K,33.1K,558,Beauty,,https://www.youtube.com/@missdarcei,Personal
21,alexandrasgirlytalk,AlexandrasGirlyTalk,Beauty,3.7M,8.8K,0,87,Beauty,T,https://www.youtube.com/@alexandrasgirlytalk,Personal
22,smithadepak,Smitha Deepak,Beauty,3.7M,38K,2.4K,143,Beauty,T,https://www.youtube.com/@smithadepak,Personal
23,cutepolish,cutepolish,Beauty,3.4M,3.8K,230,4,Beauty,,https://www.youtube.com/@cutepolish,Personal
24,doctorly,Doctorly,Beauty,3.3M,29.8K,1.3K,170,Beauty,,https://www.youtube.com/@doctorly,Brand
25,shaaanxo,Shaaanxo,Beauty,3M,9.2K,605,30,Beauty,,https://www.youtube.com/@shaaanxo,Personal
26,nailcareereducation,Nail Career Education,Beauty,2.8M,15K,1.2K,28,Beauty,T,https://www.youtube.com/@nailcareereducation,Brand
27,simplynotlogical,Simply Not Logical,Beauty,2.8M,34K,2.8K,40,Beauty,T,https://www.youtube.com/@simplynotlogical,Personal
28,madisonchrostek,Lisa Chrostek,Beauty,2.8M,30.8K,2.8K,77,Beauty,T,https://www.youtube.com/@madisonchrostek,Personal
29,anknook,An Knook,Beauty,2.8M,5.7K,447,15,Beauty,T,https://www.youtube.com/@anknook,Personal
30,beautywithin,Beauty Within,Beauty,2.7M,49K,1.6K,84,Beauty,T,https://www.youtube.com/@beautywithin,Brand
31,chloemorello,Chloe Morello,Beauty,2.6M,9.9K,260,28,Beauty,T,https://www.youtube.com/@chloemorello,Personal
32,risabae,Risabae,Beauty,2.5M,194.6K,30.3K,357,Beauty,,https://www.youtube.com/@risabae,Personal
33,sylviagani,Sylvia Gani,Beauty,2.5M,8.9K,975,9,Beauty,T,https://www.youtube.com/@sylviagani,Personal
34,haileyrhodebieber,Hailey Rhode Bieber,Beauty,2.5M,109.5K,5.3K,250,Beauty,T,https://www.youtube.com/@haileyrhodebieber,Personal
35,drdrayzday,Dr Dray,Beauty,2.5M,22.3K,1.5K,75,Beauty,T,https://www.youtube.com/@drdrayzday,Personal
36,jooshica6178,Jooshica,Beauty,2.4M,44.8K,4.7K,59,Beauty,,https://www.youtube.com/@jooshica6178,Personal
37,jasmeannnn,Jasmine Brown,Beauty,2.3M,7.1K,508,28,Beauty,T,https://www.youtube.com/@jasmeannnn,Personal
38,lisaeldridge,Lisa Eldridge,Beauty,2.1M,18K,1.3K,47,Beauty,T,https://www.youtube.com/@lisaeldridge,Personal
39,slikhaartv,Slikhaar TV - Mens hair,Beauty,2.1M,4.7K,135,5,Beauty,,https://www.youtube.com/@slikhaartv,Brand
40,jessyluxe,Jessica Vu,Beauty,2.1M,145K,10.7K,112,Beauty,T,https://www.youtube.com/@jessyluxe,Personal
41,nicola.chapman,Nicola Chapman,Beauty,2M,30.4K,1.2K,50,Beauty,T,https://www.youtube.com/@nicola.chapman,Personal
42,allure,Allure,Beauty,2M,4.9K,382,8,Beauty,,https://www.youtube.com/@allure,Brand
43,alissaashley,Alissa Ashley,Beauty,2M,24.4K,2.5K,60,Beauty,T,https://www.youtube.com/@alissaashley,Personal
44,leahhalton,Leah Halton,Beauty,2M,58.5K,4.1K,184,Beauty,T,https://www.youtube.com/@leahhalton,Personal
45,itsmyrayeraye,ItsMyRayeRaye,Beauty,1.9M,11.7K,892,26,Beauty,,https://www.youtube.com/@itsmyrayeraye,Personal
46,khichibeauty,Khichi Beauty,Beauty,1.9M,1.3K,54,5,Beauty,T,https://www.youtube.com/@khichibeauty,Brand
47,sophiaslimemixing,Sophia Slime Mixing,ASMR,1.8M,5.4K,0,4,Beauty,T,https://www.youtube.com/@sophiaslimemixing,Personal
48,hindash,Hindash,Beauty,1.7M,58.4K,3.7K,156,Beauty,,https://www.youtube.com/@hindash,Personal
49,longhairprettynails,LongHairPrettyNails,Beauty,1.7M,27.2K,2.6K,74,Beauty,,https://www.youtube.com/@longhairprettynails,Personal
50,sarahnewsfx,Sarah New Sfx,Beauty,1.7M,23.3K,2.3K,21,Beauty,T,https://www.youtube.com/@sarahnewsfx,Personal
